FlightNumber,AircraftType,DepartureAirport,ArrivalAirport,DepartureTime,ArrivalTime,FlightDuration,FuelConsumed (kg),PayloadWeight (kg),PassengerCount,TaxiOutTime (min),TaxiInTime (min),ExpectedFuel (kg),FuelDifference (kg),RouteDistance (km),AltitudeLevel (ft),CruiseSpeed (km/h),FuelPerPassenger (kg),FuelPerKm (kg/km),EmissionEstimate (kg CO₂)
PK573,A320,IST,KHI,2025-05-18 16:30,2025-05-18 21:33,303,6171.76,15060,104,18,13,6210.6,-38.84,3975.55,38836,787,59.34,1.5524,19502.76
AI3697,A320,DXB,KHI,2025-12-16 22:01,2025-12-16 23:21,80,1783.24,16239,180,5,22,1762.39,20.85,1190.18,35444,884,9.91,1.4983,5635.04
SV4328,A320,DOH,JED,2025-02-14 16:45,2025-02-14 18:25,100,2181.62,15760,153,19,20,2157.6,24.02,1332.96,33096,797,14.26,1.6367,6893.92
EK5393,A320,CAI,DXB,2025-01-24 01:10,2025-01-24 03:53,163,3539.47,13784,154,9,18,3397.84,141.63,2419.78,38305,889,22.98,1.4627,11184.73
TK7631,A320,IST,DOH,2025-01-21 10:14,2025-01-21 13:39,205,4217.61,12688,158,26,11,4226.88,-9.27,2756.39,31353,805,26.69,1.5301,13327.65
EK4129,A320,DEL,KHI,2025-02-12 10:57,2025-02-12 12:08,71,1455.22,6824,95,28,14,1488.24,-33.02,1067.83,31300,897,15.32,1.3628,4598.5
MS1681,A320,DXB,IST,2025-05-08 00:31,2025-05-08 04:12,221,4703.05,13302,86,18,25,4553.02,150.03,3029.96,37415,819,54.69,1.5522,14861.64
TK7881,A320,JED,KHI,2025-05-23 06:24,2025-05-23 09:37,193,3892.6,6826,135,7,18,3928.26,-35.66,2882.63,37449,896,28.83,1.3504,12300.62
QR8681,A320,DXB,IST,2025-10-19 01:00,2025-10-19 04:26,206,4211.64,8507,98,23,8,4205.07,6.57,3029.96,31800,879,42.98,1.39,13308.78
AI1852,A320,JED,DXB,2025-12-02 13:47,2025-12-02 15:41,114,2479.51,8695,169,6,22,2366.95,112.56,1702.17,31711,890,14.67,1.4567,7835.25
SV735,A320,DOH,DEL,2025-03-13 07:19,2025-03-13 10:13,174,3480.83,7619,176,17,18,3556.19,-75.36,2553.18,37948,877,19.78,1.3633,10999.42
TK7137,A320,JED,DEL,2025-10-24 05:04,2025-10-24 09:29,265,5685.54,12976,127,25,10,5429.76,255.78,3886.02,38176,877,44.77,1.4631,17966.31
AI3021,A320,DXB,JED,2025-07-26 05:58,2025-07-26 08:06,128,2651.16,8269,147,28,19,2642.69,8.47,1702.17,32081,797,18.04,1.5575,8377.67
SV7449,A320,JED,CAI,2025-10-24 21:02,2025-10-24 22:23,81,1751.8,14778,125,21,16,1767.78,-15.98,1214.94,30460,890,14.01,1.4419,5535.69
PK9778,A320,IST,CAI,2025-07-20 11:36,2025-07-20 13:00,84,1864.92,14715,120,23,25,1827.15,37.77,1261.41,36233,897,15.54,1.4784,5893.15
AI2509,A320,DXB,IST,2025-12-05 03:10,2025-12-05 06:45,215,4295.11,14877,104,27,12,4448.77,-153.66,3029.96,32716,845,41.3,1.4175,13572.55
MS3112,A320,DXB,JED,2025-09-02 10:08,2025-09-02 12:11,123,2610.49,12032,127,28,22,2580.32,30.17,1702.17,32469,825,20.56,1.5336,8249.15
AI856,A320,DXB,DEL,2025-11-06 16:39,2025-11-06 19:26,167,3538.2,8037,152,6,18,3420.37,117.83,2186.68,31091,784,23.28,1.6181,11180.71
AI5053,A320,KHI,DXB,2025-12-20 05:03,2025-12-20 06:26,83,1730.15,12009,163,17,13,1780.09,-49.94,1190.18,30445,854,10.61,1.4537,5467.27
SV7493,A320,KHI,DEL,2025-02-01 11:41,2025-02-01 12:53,72,1520.53,13729,158,9,9,1577.29,-56.76,1067.83,35282,880,9.62,1.4239,4804.87
QR496,A320,DEL,KHI,2025-08-07 04:20,2025-08-07 05:32,72,1459.56,7493,129,28,22,1514.93,-55.37,1067.83,38486,880,11.31,1.3668,4612.21
QR7242,A320,IST,DXB,2025-07-10 19:57,2025-07-10 23:23,206,4233.51,13174,151,17,8,4251.74,-18.23,3029.96,33815,881,28.04,1.3972,13377.89
QR743,A320,IST,JED,2025-01-24 10:16,2025-01-24 13:18,182,3745.85,9364,84,20,10,3733.64,12.21,2383.55,30630,784,44.59,1.5715,11836.89
MS664,A320,KHI,CAI,2025-07-22 12:19,2025-07-22 16:23,244,4703.77,6130,81,8,25,4941.3,-237.53,3565.44,30898,875,58.07,1.3193,14863.91
EK2459,A320,KHI,DOH,2025-02-20 08:28,2025-02-20 10:12,104,2324.74,16769,127,30,12,2247.69,77.05,1568.56,32880,900,18.31,1.4821,7346.18
QR6669,A320,JED,KHI,2025-12-13 08:04,2025-12-13 11:39,215,4467.18,12927,119,6,24,4429.27,37.91,2882.63,38237,804,37.54,1.5497,14116.29
EK9779,A320,CAI,DXB,2025-08-01 03:44,2025-08-01 06:34,170,3688.98,12801,155,24,12,3528.01,160.97,2419.78,34304,853,23.8,1.5245,11657.18
PK8771,A320,IST,DOH,2025-04-26 11:14,2025-04-26 14:38,204,4334.41,11555,159,27,6,4195.55,138.86,2756.39,30324,808,27.26,1.5725,13696.74
AI4212,A320,DOH,JED,2025-04-10 02:59,2025-04-10 04:38,99,2046.44,7975,137,19,19,2059.75,-13.31,1332.96,33634,805,14.94,1.5353,6466.75
QR6649,A320,DEL,JED,2025-02-22 08:01,2025-02-22 12:52,291,6101.18,8421,94,14,25,5904.21,196.97,3886.02,38453,801,64.91,1.57,19279.73
PK1002,A320,KHI,IST,2025-07-24 16:30,2025-07-24 21:22,292,5848.31,7115,148,26,8,5911.15,-62.84,3975.55,37065,815,39.52,1.4711,18480.66
MS9257,A320,DOH,DEL,2025-12-02 01:54,2025-12-02 04:45,171,3650.32,9372,99,7,23,3513.72,136.6,2553.18,36073,894,36.87,1.4297,11535.01
TK2794,A320,JED,IST,2025-07-09 08:31,2025-07-09 11:30,179,3878.28,12314,149,25,13,3703.14,175.14,2383.55,33733,796,26.03,1.6271,12255.36
AI6768,A320,KHI,DXB,2025-02-07 05:58,2025-02-07 07:23,85,1781.21,7012,138,26,19,1770.12,11.09,1190.18,38862,836,12.91,1.4966,5628.62
MS1880,A320,KHI,DEL,2025-02-07 08:05,2025-02-07 09:20,75,1679.82,13064,176,26,20,1630.64,49.18,1067.83,35296,846,9.54,1.5731,5308.23
MS736,A320,IST,DOH,2025-06-04 16:22,2025-06-04 19:32,190,4161.01,16628,159,26,7,3966.28,194.73,2756.39,33658,868,26.17,1.5096,13148.79
AI8219,A320,CAI,DOH,2025-11-19 03:01,2025-11-19 05:23,142,2955.96,9184,140,25,16,2931.84,24.12,2060.93,30997,867,21.11,1.4343,9340.83
SV5923,A320,DEL,JED,2025-02-01 22:16,2025-02-02 02:56,280,5604.94,16053,133,13,9,5760.53,-155.59,3886.02,32470,830,42.14,1.4423,17711.61
PK1242,A320,DEL,DXB,2025-08-14 19:03,2025-08-14 21:33,150,3134.07,9745,80,20,18,3097.45,36.62,2186.68,36469,871,39.18,1.4333,9903.66
SV7458,A320,DEL,DOH,2025-05-25 13:10,2025-05-25 16:16,186,3859.65,16526,150,19,21,3885.26,-25.61,2553.18,31064,823,25.73,1.5117,12196.49
TK1561,A320,JED,CAI,2025-07-17 06:45,2025-07-17 08:14,89,1884.32,15557,172,11,8,1935.57,-51.25,1214.94,36990,810,10.96,1.551,5954.45
SV1574,A320,JED,KHI,2025-10-12 03:14,2025-10-12 06:30,196,3943.9,8944,146,7,13,4009.44,-65.54,2882.63,38115,878,27.01,1.3682,12462.72
MS3879,A320,IST,CAI,2025-01-28 06:31,2025-01-28 07:57,86,1892.25,14457,102,29,24,1864.57,27.68,1261.41,35357,879,18.55,1.5001,5979.51
AI341,A320,DOH,DXB,2025-09-27 12:49,2025-09-27 13:15,26,616.89,8299,142,24,19,602.99,13.9,378.52,38777,847,4.34,1.6297,1949.37
QR8655,A320,DOH,JED,2025-08-16 11:48,2025-08-16 13:20,92,1992.84,15121,152,26,9,1991.21,1.63,1332.96,36862,864,13.11,1.495,6297.37
QR1436,A320,JED,IST,2025-04-21 04:27,2025-04-21 07:28,181,3650.09,16050,113,22,24,3780.5,-130.41,2383.55,35786,790,32.3,1.5314,11534.28
PK7074,A320,DEL,IST,2025-08-23 22:34,2025-08-24 04:09,335,7151.72,16751,113,9,6,6867.51,284.21,4573.44,30389,819,63.29,1.5637,22599.44
EK6244,A320,CAI,DXB,2025-04-24 06:29,2025-04-24 09:34,185,3817.5,13002,150,6,23,3830.02,-12.52,2419.78,33288,781,25.45,1.5776,12063.3
TK9832,A320,DEL,JED,2025-11-11 22:52,2025-11-12 03:13,261,5247.32,8694,81,24,11,5306.94,-59.62,3886.02,35522,890,64.78,1.3503,16581.53
SV4749,A320,IST,DXB,2025-04-04 22:37,2025-04-05 02:12,215,4612.37,11307,169,18,25,4413.07,199.3,3029.96,35736,842,27.29,1.5223,14575.09
MS9979,A320,KHI,JED,2025-06-21 09:21,2025-06-21 12:53,212,4165.56,9403,126,22,24,4334.03,-168.47,2882.63,35016,813,33.06,1.4451,13163.17
TK7882,A320,JED,IST,2025-10-19 21:05,2025-10-19 23:44,159,3250.52,11336,154,30,16,3293.36,-42.84,2383.55,33066,896,21.11,1.3637,10271.64
QR4995,A320,DEL,CAI,2025-12-06 21:44,2025-12-07 02:54,310,6459.14,14641,117,14,7,6346.41,112.73,4412.05,31260,852,55.21,1.464,20410.88
MS6682,A320,IST,DOH,2025-04-25 07:45,2025-04-25 11:09,204,4257.39,15538,96,27,22,4235.38,22.01,2756.39,30079,807,44.35,1.5446,13453.35
QR617,A320,KHI,JED,2025-05-09 16:56,2025-05-09 20:35,219,4304.48,10004,143,28,15,4480.04,-175.56,2882.63,33598,789,30.1,1.4932,13602.16
MS1251,A320,JED,DXB,2025-01-19 13:05,2025-01-19 15:03,118,2534.98,16323,113,16,21,2523.23,11.75,1702.17,35503,862,22.43,1.4893,8010.54
EK8097,A320,DXB,DOH,2025-07-18 15:57,2025-07-18 16:22,25,624.3,11866,164,18,14,618.66,5.64,378.52,31910,898,3.81,1.6493,1972.79
AI7984,A320,DEL,DXB,2025-07-13 18:27,2025-07-13 21:06,159,3202.01,7023,172,29,5,3250.23,-48.22,2186.68,32890,822,18.62,1.4643,10118.35
TK8610,A320,IST,KHI,2025-08-24 03:41,2025-08-24 08:38,297,6049.89,10627,142,19,25,6046.27,3.62,3975.55,34209,802,42.6,1.5218,19117.65
MS4060,A320,DXB,DOH,2025-09-04 20:34,2025-09-04 21:00,26,588.11,7712,136,27,8,597.12,-9.01,378.52,34330,846,4.32,1.5537,1858.43
AI8056,A320,KHI,DXB,2025-06-08 06:40,2025-06-08 08:11,91,2001.19,15167,178,21,16,1971.67,29.52,1190.18,36727,782,11.24,1.6814,6323.76
EK1144,A320,DXB,DOH,2025-09-06 11:09,2025-09-06 11:35,26,731.61,17856,133,12,15,698.56,33.05,378.52,30535,846,5.5,1.9328,2311.89
EK3369,A320,KHI,DOH,2025-07-16 12:08,2025-07-16 13:58,110,2298.85,10650,130,10,18,2306.5,-7.65,1568.56,33708,854,17.68,1.4656,7264.37
TK4404,A320,JED,KHI,2025-09-12 00:39,2025-09-12 04:11,212,4538.47,15662,160,24,17,4396.62,141.85,2882.63,30860,814,28.37,1.5744,14341.57
QR2394,A320,DEL,DOH,2025-09-04 00:46,2025-09-04 03:48,182,3711.72,8712,134,6,21,3727.12,-15.4,2553.18,36694,838,27.7,1.4538,11729.04
SV5806,A320,DOH,IST,2025-10-17 16:21,2025-10-17 19:32,191,3906.26,10986,148,9,24,3929.86,-23.6,2756.39,31777,863,26.39,1.4172,12343.78
SV6933,A320,JED,CAI,2025-09-01 18:52,2025-09-01 20:24,92,1905.02,15882,177,8,25,1998.82,-93.8,1214.94,31763,789,10.76,1.568,6019.86
AI6537,A320,DOH,DXB,2025-02-05 22:03,2025-02-05 22:29,26,680.15,14568,98,15,19,665.6800000000001,14.47,378.52,35176,852,6.94,1.7969,2149.27
AI9794,A320,CAI,DXB,2025-09-12 01:49,2025-09-12 04:42,173,3737.51,16352,115,22,19,3623.52,113.99,2419.78,36567,837,32.5,1.5446,11810.53
TK6591,A320,DOH,DEL,2025-01-21 03:53,2025-01-21 06:57,184,3648.71,15861,150,8,20,3838.61,-189.9,2553.18,32578,830,24.32,1.4291,11529.92
MS6514,A320,DOH,JED,2025-06-16 12:45,2025-06-16 14:14,89,1913.47,13846,137,9,11,1918.46,-4.99,1332.96,34639,889,13.97,1.4355,6046.57
MS9895,A320,CAI,DXB,2025-02-26 23:43,2025-02-27 02:39,176,3548.36,14846,170,27,14,3668.46,-120.1,2419.78,35569,824,20.87,1.4664,11212.82
SV2065,A320,JED,IST,2025-11-22 21:22,2025-11-23 00:16,174,3496.02,15533,139,19,5,3635.33,-139.31,2383.55,38854,819,25.15,1.4667,11047.42
QR5042,A320,CAI,DXB,2025-09-01 17:32,2025-09-01 20:18,166,3376.91,8226,108,17,18,3402.26,-25.35,2419.78,32448,873,31.27,1.3955,10671.04
EK2215,A320,CAI,DOH,2025-02-26 14:09,2025-02-26 16:45,156,3062.28,7773,130,12,7,3197.73,-135.45,2060.93,35758,792,23.56,1.4859,9676.8
EK6915,A320,DOH,DXB,2025-09-26 13:36,2025-09-26 14:01,25,664.64,13769,142,17,25,637.69,26.95,378.52,35685,881,4.68,1.7559,2100.26
EK7379,A320,CAI,KHI,2025-08-07 17:18,2025-08-07 21:47,269,5561.82,16568,174,24,16,5545.68,16.14,3565.44,30603,793,31.96,1.5599,17575.35
PK9629,A320,DXB,KHI,2025-04-14 00:49,2025-04-14 02:10,81,1709.02,6247,176,19,5,1682.47,26.55,1190.18,35419,879,9.71,1.4359,5400.5
AI918,A320,IST,DEL,2025-02-03 22:48,2025-02-04 04:09,321,6580.88,7430,129,11,16,6494.3,86.58,4573.44,38705,854,51.01,1.4389,20795.58
AI9554,A320,DXB,CAI,2025-11-06 14:13,2025-11-06 17:14,181,3761.6,11504,138,16,9,3735.04,26.56,2419.78,34374,800,27.26,1.5545,11886.66
QR8038,A320,JED,KHI,2025-04-10 00:00,2025-04-10 03:39,219,4563.61,12945,141,25,12,4509.45,54.16,2882.63,37173,789,32.37,1.5831,14421.01
TK9349,A320,DEL,IST,2025-05-01 03:29,2025-05-01 08:49,320,6207.35,8106,163,18,6,6481.06,-273.71,4573.44,34363,856,38.08,1.3573,19615.23
QR2711,A320,DOH,IST,2025-09-17 01:10,2025-09-17 04:20,190,3763.66,8406,168,23,16,3884.06,-120.4,2756.39,38681,866,22.4,1.3654,11893.17
QR787,A320,DOH,CAI,2025-11-25 19:40,2025-11-25 21:59,139,2808.23,15614,125,14,20,2936.14,-127.91,2060.93,38523,885,22.47,1.3626,8874.01
AI1015,A320,KHI,IST,2025-08-02 22:32,2025-08-03 03:12,280,5691.02,6268,84,22,13,5662.68,28.34,3975.55,34767,850,67.75,1.4315,17983.62
MS9630,A320,CAI,KHI,2025-02-01 21:27,2025-02-02 01:25,238,5063.76,7163,180,6,25,4831.63,232.13,3565.44,35146,897,28.13,1.4202,16001.48
AI8569,A320,DXB,KHI,2025-01-23 09:59,2025-01-23 11:27,88,1946.87,11998,128,27,11,1879.98,66.89,1190.18,33532,804,15.21,1.6358,6152.11
MS6570,A320,JED,IST,2025-04-09 09:22,2025-04-09 12:03,161,3213.54,14083,126,23,21,3360.83,-147.29,2383.55,32190,886,25.5,1.3482,10154.79
SV7692,A320,DEL,DOH,2025-05-25 06:34,2025-05-25 09:41,187,3739.75,15547,175,11,19,3895.47,-155.72,2553.18,32499,816,21.37,1.4647,11817.61
EK9079,A320,DOH,DEL,2025-04-05 04:28,2025-04-05 07:29,181,3561.26,10401,116,15,24,3724.01,-162.75,2553.18,37344,845,30.7,1.3948,11253.58
SV3022,A320,DOH,DEL,2025-10-05 14:28,2025-10-05 17:38,190,3773.66,17074,85,10,22,3970.74,-197.08,2553.18,33851,803,44.4,1.478,11924.77
SV7259,A320,DXB,JED,2025-06-18 02:35,2025-06-18 04:35,120,2546.99,7954,167,22,9,2479.54,67.45,1702.17,34150,847,15.25,1.4963,8048.49
QR9375,A320,JED,KHI,2025-02-09 03:49,2025-02-09 07:21,212,4151.06,12176,175,20,11,4361.76,-210.7,2882.63,31012,813,23.72,1.44,13117.35
SV3675,A320,DXB,DEL,2025-09-07 11:16,2025-09-07 14:04,168,3614.12,12645,80,13,19,3486.45,127.67,2186.68,37537,780,45.18,1.6528,11420.62
MS4255,A320,IST,KHI,2025-08-02 06:52,2025-08-02 11:24,272,5676.23,15121,118,10,13,5591.21,85.02,3975.55,33748,876,48.1,1.4278,17936.89
QR9126,A320,DOH,IST,2025-05-14 12:54,2025-05-14 16:17,203,4149.42,7120,119,7,15,4131.2,18.22,2756.39,35728,811,34.87,1.5054,13112.17
MS8134,A320,KHI,JED,2025-08-02 04:42,2025-08-02 08:08,206,4493.56,17996,140,19,13,4299.96,193.6,2882.63,31079,839,32.1,1.5588,14199.65
PK843,A320,JED,CAI,2025-04-26 13:40,2025-04-26 15:02,82,1706.44,15183,108,5,14,1791.83,-85.39,1214.94,33070,884,15.8,1.4045,5392.35
QR6321,A320,DXB,JED,2025-01-16 19:08,2025-01-16 21:03,115,2339.63,15883,89,17,14,2458.83,-119.2,1702.17,35863,884,26.29,1.3745,7393.23
EK7878,A320,DXB,JED,2025-03-02 10:03,2025-03-02 12:12,129,2840.37,16270,151,5,7,2742.7,97.67,1702.17,30194,786,18.81,1.6687,8975.57
TK3289,A320,KHI,DEL,2025-11-22 01:46,2025-11-22 02:58,72,1606.5,12453,150,6,25,1564.53,41.97,1067.83,33532,886,10.71,1.5044,5076.54
EK2289,A320,JED,DOH,2025-12-09 13:56,2025-12-09 15:33,97,1924.7,7667,111,5,10,2016.67,-91.97,1332.96,36693,817,17.34,1.4439,6082.05
MS4191,A320,DOH,KHI,2025-09-24 15:37,2025-09-24 17:27,110,2257.25,10267,146,6,23,2302.67,-45.42,1568.56,37650,852,15.46,1.4391,7132.91
TK9186,A320,CAI,IST,2025-10-23 15:15,2025-10-23 16:45,90,1971.83,14794,139,29,22,1947.94,23.89,1261.41,33777,838,14.19,1.5632,6230.98
AI8828,A320,IST,DEL,2025-11-12 03:00,2025-11-12 08:37,337,6932.55,6296,86,17,23,6802.96,129.59,4573.44,31931,813,80.61,1.5158,21906.86
TK3615,A320,DXB,KHI,2025-06-05 19:47,2025-06-05 21:13,86,1903.83,16546,117,20,13,1885.46,18.37,1190.18,37366,824,16.27,1.5996,6016.1
QR1253,A320,IST,KHI,2025-09-23 02:34,2025-09-23 07:30,296,6208.88,6643,133,21,23,5986.43,222.45,3975.55,30153,804,46.68,1.5618,19620.06
TK2534,A320,JED,CAI,2025-11-12 18:30,2025-11-12 19:54,84,1889.38,13030,180,28,23,1810.3,79.08,1214.94,30814,863,10.5,1.5551,5970.44
SV6593,A320,DOH,DEL,2025-08-12 05:23,2025-08-12 08:36,193,3926.73,14002,118,5,24,4000.02,-73.29,2553.18,30955,792,33.28,1.538,12408.47
MS6884,A320,DOH,KHI,2025-07-12 02:15,2025-07-12 04:11,116,2429.41,8961,155,16,23,2409.61,19.8,1568.56,34250,810,15.67,1.5488,7676.94
EK1258,A320,JED,KHI,2025-10-14 16:13,2025-10-14 19:26,193,3885.11,13083,99,29,11,3990.83,-105.72,2882.63,37842,892,39.24,1.3478,12276.95
EK1162,A320,CAI,KHI,2025-11-20 21:24,2025-11-21 01:46,262,5504.12,15263,116,12,16,5392.63,111.49,3565.44,31674,815,47.45,1.5437,17393.02
AI5754,A320,CAI,KHI,2025-07-15 06:12,2025-07-15 10:25,253,5145.65,16605,151,30,6,5226.05,-80.4,3565.44,38975,843,34.08,1.4432,16260.25
MS9199,A320,DEL,DXB,2025-06-18 19:41,2025-06-18 22:14,153,3268.66,15801,172,9,14,3218.01,50.65,2186.68,35836,854,19.0,1.4948,10328.97
EK4979,A320,DXB,KHI,2025-03-17 14:24,2025-03-17 15:47,83,1655.92,8055,129,16,22,1740.55,-84.63,1190.18,32547,855,12.84,1.3913,5232.71
QR3505,A320,DXB,CAI,2025-07-12 03:35,2025-07-12 06:17,162,3229.94,15358,91,12,12,3393.58,-163.64,2419.78,30885,894,35.49,1.3348,10206.61
TK1745,A320,DEL,DXB,2025-01-05 12:55,2025-01-05 15:29,154,3152.3,13661,123,5,18,3216.61,-64.31,2186.68,37665,848,25.63,1.4416,9961.27
PK3120,A320,JED,CAI,2025-08-20 13:14,2025-08-20 14:45,91,1829.66,8439,108,23,17,1904.39,-74.73,1214.94,37183,796,16.94,1.506,5781.73
AI8127,A320,KHI,DXB,2025-01-12 01:12,2025-01-12 02:35,83,1795.38,16493,82,17,8,1824.93,-29.55,1190.18,37630,860,21.89,1.5085,5673.4
AI3123,A320,DEL,JED,2025-04-12 08:15,2025-04-12 13:06,291,6030.25,7894,159,17,13,5898.94,131.31,3886.02,36390,801,37.93,1.5518,19055.59
AI7408,A320,IST,JED,2025-01-26 01:32,2025-01-26 04:30,178,3552.78,16362,93,18,21,3723.62,-170.84,2383.55,32394,803,38.2,1.4905,11226.78
PK6121,A320,DEL,DXB,2025-08-12 16:21,2025-08-12 18:59,158,3354.04,8299,154,19,24,3242.99,111.05,2186.68,33750,828,21.78,1.5338,10598.77
EK1004,A320,JED,DXB,2025-08-11 18:21,2025-08-11 20:30,129,2748.17,13093,97,21,16,2710.93,37.24,1702.17,31953,789,28.33,1.6145,8684.22
QR3668,A320,JED,KHI,2025-10-04 17:54,2025-10-04 21:20,206,4134.4,6764,138,25,24,4187.64,-53.24,2882.63,35484,836,29.96,1.4342,13064.7
QR2088,A320,IST,DOH,2025-05-09 21:07,2025-05-10 00:31,204,4338.17,8174,102,29,15,4161.74,176.43,2756.39,37794,810,42.53,1.5739,13708.62
MS2586,A320,CAI,DXB,2025-11-10 01:55,2025-11-10 04:58,183,3872.96,8894,137,25,6,3748.94,124.02,2419.78,36292,790,28.27,1.6005,12238.55
EK5688,A320,CAI,KHI,2025-03-23 14:20,2025-03-23 18:32,252,5157.53,8539,125,28,16,5125.39,32.14,3565.44,34286,847,41.26,1.4465,16297.79
MS7223,A320,DEL,CAI,2025-08-02 00:40,2025-08-02 05:51,311,6600.23,15898,129,25,9,6378.98,221.25,4412.05,34794,849,51.16,1.496,20856.73
AI8524,A320,DXB,IST,2025-03-21 22:31,2025-03-22 02:11,220,4649.17,6416,136,23,22,4464.16,185.01,3029.96,31791,823,34.19,1.5344,14691.38
TK3343,A320,DEL,DOH,2025-05-12 15:20,2025-05-12 18:26,186,3847.09,7724,149,9,20,3797.24,49.85,2553.18,35488,820,25.82,1.5068,12156.8
QR1331,A320,DOH,IST,2025-01-17 01:05,2025-01-17 04:16,191,3800.7,9467,160,5,14,3914.67,-113.97,2756.39,37724,862,23.75,1.3789,12010.21
AI6055,A320,IST,CAI,2025-09-17 06:15,2025-09-17 07:41,86,1809.33,6696,135,19,13,1786.96,22.37,1261.41,36176,870,13.4,1.4344,5717.48
SV9608,A320,DEL,JED,2025-03-04 09:49,2025-03-04 14:36,287,5753.0,10180,174,19,7,5841.8,-88.8,3886.02,31998,812,33.06,1.4804,18179.48
PK127,A320,JED,CAI,2025-01-07 11:38,2025-01-07 13:02,84,1932.24,16177,136,8,25,1841.77,90.47,1214.94,36573,860,14.21,1.5904,6105.88
TK7472,A320,DXB,DEL,2025-07-11 14:25,2025-07-11 16:54,149,3092.66,15991,157,21,7,3139.91,-47.25,2186.68,37089,879,19.7,1.4143,9772.81
QR4635,A320,DEL,CAI,2025-05-18 01:42,2025-05-18 07:08,326,6315.98,6399,102,26,22,6583.99,-268.01,4412.05,30309,811,61.92,1.4315,19958.5
SV2580,A320,JED,DEL,2025-06-05 08:06,2025-06-05 13:04,298,6302.06,11644,128,14,18,6076.44,225.62,3886.02,37389,781,49.23,1.6217,19914.51
PK1552,A320,DXB,CAI,2025-10-21 08:38,2025-10-21 11:29,171,3688.51,17243,132,5,9,3592.43,96.08,2419.78,30717,849,27.94,1.5243,11655.69
